Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
03/04/2017,Credit reporting,,Credit reporting company's investigation,Investigation took too long,,,"EQUIFAX, INC.",CA,92683,,Consent not provided,Web,03/04/2017,Closed with explanation,Yes,No,2371648
05/17/2012,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,90242,,N/A,Referral,05/22/2012,Closed with non-monetary relief,No,No,81081
04/06/2017,Credit card,,Other fee,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,BARCLAYS BANK DELAWARE,VA,22315,Servicemember,Consent not provided,Web,04/06/2017,Closed with explanation,Yes,No,2423410
04/21/2017,Prepaid card,Payroll card,"Advertising, marketing or disclosures",,,Company believes it acted appropriately as authorized by contract or law,NETSPEND CORPORATION,NC,281XX,,,Web,04/21/2017,Closed with explanation,Yes,No,2445609
03/04/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,Talked to a third party about my debt,,,Resurgent Capital Services L.P.,TX,75686,,Consent not provided,Web,03/04/2017,Closed with explanation,Yes,No,2371815
04/06/2017,Credit card,,Identity theft / Fraud / Embezzlement,,,,JPMORGAN CHASE & CO.,DC,20002,,,Web,04/06/2017,Closed with explanation,Yes,No,2421040
04/01/2017,Credit card,,Customer service / Customer relations,,,,CAPITAL ONE FINANCIAL CORPORATION,TN,371XX,Servicemember,,Web,04/01/2017,Closed with explanation,Yes,No,2414717
02/08/2016,Credit reporting,,Incorrect information on credit report,Account status,,Company chooses not to provide a public response,EXPERIAN DELAWARE GP,NC,27703,,N/A,Postal mail,02/08/2016,Closed with explanation,Yes,No,1776912
04/21/2017,Debt collection,Payday loan,Disclosure verification of debt,Right to dispute notice not received,,,SPEEDY CASH INTERMEDIATE HOLDINGS CORP,TX,773XX,,,Web,04/21/2017,Closed with explanation,Yes,No,2444768
04/16/2017,Debt collection,Auto,False statements or representation,Attempted to collect wrong amount,,Company believes it acted appropriately as authorized by contract or law,"American Credit Acceptance, LLC",TX,76210,,Consent not provided,Web,04/16/2017,Closed with explanation,Yes,No,2437313
03/17/2017,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",LA,71292,,Consent not provided,Web,03/18/2017,Closed with non-monetary relief,Yes,No,2389782
04/18/2017,Student loan,Non-federal student loan,Can't repay my loan,Can't decrease my monthly payments,,,JPMORGAN CHASE & CO.,MD,20772,,N/A,Referral,04/19/2017,Closed with explanation,Yes,No,2439594
03/04/2017,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,,,"ONEMAIN FINANCIAL HOLDINGS, LLC.",NC,27597,,Consent not provided,Web,03/04/2017,Closed with explanation,Yes,No,2371691
04/17/2017,Bank account or service,Checking account,Problems caused by my funds being low,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NY,11221,,N/A,Referral,04/18/2017,Closed with explanation,Yes,No,2437915
03/04/2017,Bank account or service,Checking account,"Account opening, closing, or management",,"My wife and I visited the Chase Bank branch at XXXX, XXXX, KY on XX/XX/2017 around XXXX AM to open new checking accounts. We were prompted to open these checking accounts because Chase mailed and emailed us vouchers to receive {$300.00} for opening each account and personal friends had also referred us. XXXX was assigned to assist us in this matter. His first question to us was "" where do you work? "". After informing him that we are both were XXXX employees he asked us what we were going to do with our XXXX accounts. We advised him we would be keeping those accounts open. He then asked what we would be using our new Chase accounts for and I advised we would be using those accounts for miscellaneous savings, etc. It was then that XXXX XXXX advised he would not be opening the new accounts for us unless we closed our XXXX accounts and he tossed the Chase Voucher and our ID 's back across the desk to us ( RUDE! ). Confused, I questioned him further about this and he advised that he did not believe we were going to use our new Chase accounts and would just close them in 6 months. Upon clarifying that we would indeed keep the Chase accounts open and meet all of the requirements of the offer he stated that we would not be closing our XXXX accounts. He reiterated that he would not open the accounts for us and advised that he would get his manager XXXX involved. When XXXX XXXX arrived in the office to speak with us she advised that Chase would not be honoring the vouchers and would not open accounts for us because XXXX XXXX told her we were not planning to keep the accounts open and would not be "" using '' the accounts. I advised XXXX XXXX that we intended to meet the minimum requirements ( set up direct deposit and keep the account open for 6 months ) and would keep the accounts open further if we enjoyed the service we received from Chase during that time. I advised we intended to have direct deposit active on the accounts and would be moving money in and out of the accounts, but she did not seem to believe that was qualifying usage of the accounts. She then advised that I had previously opened a Chase account with a coupon about 10 years ago and did not keep it open. However, I believe that account was my primary checking account and I did keep it open for the required period of time and more. It was only when I moved out of state that I closed the account because I did not know if there would be Chase branches in my new area. I am deeply insulted by my experience in trying to open these new accounts and feel that my wife and I have been discriminated against because of our employment with another banking institute. In addition to this occurrence while my wife and I we waiting in the lobby to meet with XXXX XXXX we both were able to clearly observe XXXX 's business interactions with another customer who was in his cubicle/office which has an open door and clear glass windows. We were able to hear their entire conversation and at a certain point XXXX XXXX pulled that customer 's XXXX score. After pulling the XXXX score up on his monitor he swiveled the monitor around so that it was facing directly out the window into the lobby and I could clearly see the customer 's score was XXXX. Being in the banking business I understand well that this is a clear violation of Customer Confidentiality regulations and should be dealt with as such.",,JPMORGAN CHASE & CO.,KY,423XX,,Consent provided,Web,03/04/2017,Closed with explanation,Yes,Yes,2371744
03/27/2017,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,"Nationwide Biweekly Administration, Inc.",TX,78705,Older American,,Web,03/27/2017,Closed with explanation,Yes,No,2404727
03/21/2017,Credit reporting,,Incorrect information on credit report,Account terms,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,FL,34275,,Consent not provided,Web,03/21/2017,Closed with explanation,Yes,No,2397793
04/21/2017,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,OCWEN LOAN SERVICING LLC,CO,802XX,Older American,,Web,04/21/2017,Closed with explanation,Yes,No,2444582
03/04/2017,Student loan,Federal student loan servicing,Can't repay my loan,Can't decrease my monthly payments,The service representative was harsh and not listening to my questions. Attempting to collect on a debt I thought was in a grace period because I had just finished school in XXXX and it is only XXXX. Why would know one contact me prior to this? I let her know I could n't afford the XXXX a month and I needed to lower my payments. They were aggressive and unwilling to hear it. I fully intend on paying my loans just needs to be something I can afford monthly as to not overextend myself. Hate that my loans even ended up with Navient.,,"Navient Solutions, LLC.",OK,741XX,,Consent provided,Web,03/04/2017,Closed with explanation,Yes,No,2371928
04/17/2017,Prepaid card,Payroll card,"Managing, opening, or closing account",,,,NETSPEND CORPORATION,CA,900XX,,,Web,04/18/2017,In progress,Yes,No,2439263
04/07/2017,Mortgage,Other mortgage,Other,,,,OCWEN LOAN SERVICING LLC,WA,98223,,N/A,Postal mail,04/07/2017,Closed with explanation,Yes,No,2424942
03/04/2017,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"EQUIFAX, INC.",PA,19148,Servicemember,Consent not provided,Web,03/04/2017,Closed with explanation,Yes,No,2371893
04/17/2017,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Ditech Financial LLC,VA,221XX,,,Web,04/17/2017,Closed with explanation,Yes,No,2438700
04/18/2017,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"LoanCare, LLC",VA,23113,Older American,Consent not provided,Web,04/18/2017,Closed with explanation,Yes,No,2440213
10/23/2014,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,92879,,N/A,Referral,10/28/2014,Closed with explanation,Yes,No,1084242
04/12/2017,Bank account or service,Checking account,Problems caused by my funds being low,,"I have documentation that shows that US Bank would not charge a Returned Item Fee nor an Overdraft Fee on my account ( Number XXXX ). When a withdrawal or other debit came in and there were non-sufficient funds, the payment was returned, without charging any fees, unless the resulting overdraft amount was negligible ( This occurred seven times between XX/XX/XXXX and XX/XX/XXXX on the old account as shown by notices received in the mail attached herein ). 
On XX/XX/XXXX, I opened a new account at US Bank ( XXXX XXXX ). On XX/XX/XXXX, an overdraft fee was charged, and a few days later two other payments were returned, one other was returned and more fees were added. The Bank has failed to provide satisfactorily explanation of this change in policy. At the time of opening the new account, I was not given any notice or warning that new rules would apply. The Bank keeps adding extended overdraft fees. 
In my perception, the bank should have not honored any payments that were underfunded nor charged any fees for overdraft nor returned items because US Bank created a reasonable expectation through consistent behavior upon which reliance was reasonable. The Bank should bring the account to XXXX balance at its own expense. Further, the bank should refrain form a threatened charge off or any other report that will harm my credit history.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,CA,928XX,,Consent provided,Web,04/12/2017,Closed with explanation,Yes,No,2431565
04/19/2017,Bank account or service,Checking account,Deposits and withdrawals,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"WELLS FARGO BANK, NATIONAL ASSOCIATION",AL,350XX,Older American,,Web,04/19/2017,Closed with explanation,Yes,No,2442864
04/19/2017,Credit card,,Other,,,,AMERICAN EXPRESS CENTURION BANK,GA,30030,,N/A,Referral,04/20/2017,Closed with monetary relief,Yes,No,2443256
03/21/2017,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,WI,53405,,Consent not provided,Web,03/21/2017,Closed with explanation,Yes,No,2398113
04/18/2017,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,"AC Autopay, LLC",KS,67002,,,Web,04/18/2017,Untimely response,No,No,2437553
04/07/2017,Credit card,,APR or interest rate,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",AZ,85296,,N/A,Referral,04/07/2017,Closed with monetary relief,Yes,No,2425048
12/17/2015,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,,,"Alpine Credit, Inc",CO,80017,,Consent not provided,Web,12/17/2015,Closed with explanation,No,No,1706577
03/21/2017,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,NC,28216,,Consent not provided,Web,03/21/2017,Closed with non-monetary relief,Yes,No,2398377
03/21/2017,Credit reporting,,Incorrect information on credit report,Account status,Experian reporting of XXXX XXXX reflects a foreflosure. this was a short sale of the property done on XX/XX/2013. this is not reported accurately,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,PA,190XX,,Consent provided,Web,03/21/2017,Closed with explanation,Yes,No,2398200
04/19/2017,Bank account or service,Checking account,"Making/receiving payments, sending money",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",MI,48623,,N/A,Referral,04/20/2017,Closed with explanation,Yes,No,2441825
03/04/2017,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,JPMORGAN CHASE & CO.,NC,28731,Older American,Consent not provided,Web,03/04/2017,Closed with explanation,Yes,No,2371632
04/19/2017,Credit card,,Other,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"WELLS FARGO BANK, NATIONAL ASSOCIATION",CA,93550,,Consent not provided,Web,04/19/2017,Closed with explanation,Yes,No,2443560
04/19/2017,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,NETSPEND CORPORATION,NH,038XX,Older American,,Web,04/21/2017,Closed with explanation,Yes,No,2442917
04/21/2017,Bank account or service,Checking account,Problems caused by my funds being low,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",DC,200XX,,,Web,04/21/2017,Closed with explanation,Yes,No,2447351
03/04/2017,Credit reporting,,Incorrect information on credit report,Personal information,,,"EQUIFAX, INC.",NJ,07843,,Consent not provided,Web,03/04/2017,Closed with non-monetary relief,Yes,No,2371789
03/10/2017,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",WA,98532,"Older American, Servicemember",N/A,Fax,03/14/2017,Closed with explanation,Yes,No,2381695
04/03/2017,Bank account or service,Checking account,Deposits and withdrawals,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",WA,98052,,N/A,Referral,04/04/2017,Closed with explanation,Yes,No,2416625
03/04/2017,Bank account or service,Other bank product/service,Using a debit or ATM card,,,,Comerica,NC,28405,,Consent not provided,Web,03/04/2017,Closed with explanation,Yes,No,2371634
04/05/2017,Mortgage,Home equity loan or line of credit,"Application, originator, mortgage broker",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",MD,20746,,N/A,Referral,04/06/2017,Closed with non-monetary relief,Yes,No,2421775
03/04/2017,Credit card,,Balance transfer,,"Around XX/XX/XXXX I accepted a credit card offer from my Chase AARP card at a 0 % interest for a year with a 2 % transfer fee. Needing the money, I called Chase and asked them to deposit XXXX into my checking account and, shortly there after, they did so. Now, they are wanting the XXXX. back from my checking account. They say it was their error but they should n't have deposited the money because that checking account has n't been used to pay a Chase fee within 3 months, so could n't be approved for the transfer.. I had XXXX balances so there was no need to make a payment. They made this decision after they deposited the money into my account.They say they will pay the bank fees but where am I supposed to get the XXXX?. I do not have all of the XXXX left and what is there is allocated for checks and payments that have not cleared yet. I accepted their offer and borrowed this money in good faith and have spent many hours on the phone with various Chase reps and am that the account is active, has XXXX available credit, but they can not assign the money already borrowed to that account because it was n't used for 3 months. Surely they can lift the rule to cover their error, but they wo n't. The woman, who said she was a manager, gave me the fax number of Chase Executive Offices as my only recourse. So, I am contacting you. This is an AARP card, available only to XXXX. They are causing havoc in my life and do not care at all. Please help",,JPMORGAN CHASE & CO.,TN,376XX,Older American,Consent provided,Web,03/04/2017,Closed with monetary relief,Yes,No,2371616
04/04/2017,Credit card,,Identity theft / Fraud / Embezzlement,,,,DISCOVER BANK,NJ,08902,,N/A,Referral,04/05/2017,Closed with explanation,Yes,No,2418794
08/21/2012,Mortgage,Other mortgage,Other,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",NY,11218,,N/A,Postal mail,08/21/2012,Closed with explanation,Yes,No,139273
03/10/2017,Debt collection,Mortgage,Disclosure verification of debt,Not given enough info to verify debt,,,CARRINGTON MORTGAGE SERVICES,NJ,07747,,N/A,Referral,03/14/2017,Closed with explanation,Yes,No,2380778
04/18/2017,Other financial service,Check cashing,Customer service/Customer relations,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Fidelity National Information Services, Inc. (FNIS)",ME,04747,Older American,N/A,Referral,04/19/2017,Closed with explanation,Yes,No,2440513
04/18/2017,Credit card,,Credit determination,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,PA,191XX,,,Web,04/18/2017,Closed with non-monetary relief,Yes,No,2440285
04/20/2017,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,SYNCHRONY BANK,WA,25302,"Older American, Servicemember",N/A,Phone,04/21/2017,Closed with monetary relief,Yes,No,2444790
04/20/2017,Bank account or service,Checking account,Deposits and withdrawals,,,Company believes it acted appropriately as authorized by contract or law,NETSPEND CORPORATION,NV,891XX,,,Web,04/21/2017,Closed with explanation,Yes,No,2444547
04/19/2017,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,JPMORGAN CHASE & CO.,PA,19422,,N/A,Postal mail,04/19/2017,Closed with explanation,Yes,No,2442270
04/21/2017,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,,,"JH Portfolio Debt Equities, LLC",TX,752XX,,,Web,04/21/2017,Closed with explanation,Yes,No,2444577
04/19/2017,Credit card,,Transaction issue,,,,CAPITAL ONE FINANCIAL CORPORATION,MD,212XX,,,Web,04/19/2017,Closed with explanation,Yes,No,2441982
04/20/2017,Consumer Loan,Installment loan,Managing the loan or lease,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,SYNCHRONY BANK,TX,775XX,Servicemember,,Web,04/21/2017,Closed with non-monetary relief,Yes,No,2444123
03/22/2017,Credit reporting,,Credit monitoring or identity protection,Problem with fraud alerts,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,GA,30309,,N/A,Referral,03/22/2017,Closed with explanation,Yes,No,2399982
03/06/2017,Credit reporting,,Incorrect information on credit report,Account status,"XXXX has wrongfully placed an account in collections. XXXX has indicated that I owed {$1700.00} for water bills at XXXX. This is absolutely false. All of the bills were in good standing upon leaving. This company bulldogged and bullied me into leaving the property. They initiated an eviction on me when all of the rents were paid on time. Elite home management has placed this account in collection with National Credit Systems. I would like this account removed from collections immediately. Attached is full documentation that this account was paid in full. Additionally, XXXX kept my deposit. I would like to request my deposit be returned as I left the property in good standing and was NEVER late paying monthly rent. Please see all attached documentation. Furthermore, the claim that XXXX is stating I owe monies for a water bill is false. The amount started in XXXX of 2012. The account was never placed in my name and started with a balance of over {$700.00}! XXXX presented false documents to the court in order to have me evicted from the property. I 'm requesting that this is immediately removed from my credit report and handled outside of a credit reporting agency as these claims are false!",Company believes it acted appropriately as authorized by contract or law,"National Credit Systems,Inc.",GA,300XX,,Consent provided,Web,03/08/2017,Closed with explanation,Yes,No,2373228
04/07/2017,Bank account or service,Checking account,"Account opening, closing, or management",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CT,06484,,N/A,Referral,04/07/2017,Closed with monetary relief,Yes,No,2425815
04/14/2017,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,Regarding PMI : we paid up front at closing to not have PMI on our mortgage with the understanding that it is cancelled at 80 % LTV ratio. Four years later when we reached 80 % Wells Fargo will start charging PMI until the LTV reaches 78 % or we pay about {$550.00} for a Wells Fargo appraisal to verify loan value has not diminished. Wells Fargo will not accept a property tax statement as proof of house value. Please help to make it allowable for Wells Fargo to accept a property tax statement as home value instead of demanding their service.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"WELLS FARGO BANK, NATIONAL ASSOCIATION",TX,750XX,,Consent provided,Web,04/14/2017,Closed with explanation,Yes,No,2436277
04/21/2017,Credit reporting,,Incorrect information on credit report,Public record,,,EXPERIAN DELAWARE GP,FL,34201,,,Web,04/26/2017,In progress,Yes,No,2446912
03/04/2017,Consumer Loan,Vehicle loan,Problems when you are unable to pay,,,,PRESTIGE FINANCIAL SERVICES INC,IL,60653,,Consent not provided,Web,03/04/2017,Closed with explanation,Yes,No,2371938
04/20/2017,Credit card,,Other fee,,,Company believes complaint is the result of an isolated error,UNITED SERVICES AUTOMOBILE ASSOCIATION,TX,78727,,Consent not provided,Web,04/20/2017,Closed with monetary relief,Yes,No,2444855
04/18/2017,Consumer Loan,Vehicle loan,Taking out the loan or lease,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Westlake Services, LLC",CA,925XX,Older American,,Web,04/18/2017,Closed with explanation,Yes,No,2440401
04/03/2017,Credit reporting,,Incorrect information on credit report,Public record,,,"EQUIFAX, INC.",DC,20032,,,Web,04/03/2017,Closed with explanation,Yes,No,2417137
05/06/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,i gave a vehicle away signed a bill of sale and turned in a release of liability to the dmv 6 plus years after i have a report on my XXXX that i have a XXXX dollar debt for the vehicle after it was impounded.i contacted the reporting persons and was told that because the other party had not followed through i was responsible even though the XXXX couldnt find a record of me owning the vehicle.i tried working with this company providing all the info i could for them even though the dmv wasnt able to find my name attached to this vehicle and refused to investagate anything,,FINEX Group LLC,CA,953XX,,Consent provided,Web,05/06/2016,Closed with explanation,No,No,1914423
03/04/2017,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,,,"Levy and Associates, LLC",OH,43235,,Consent not provided,Web,03/04/2017,Closed with explanation,Yes,Yes,2371593
03/04/2017,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt resulted from identity theft,,,"ONEMAIN FINANCIAL HOLDINGS, LLC.",NC,27597,,Consent not provided,Web,03/04/2017,Closed with explanation,Yes,No,2371642
04/17/2017,Credit card,,Identity theft / Fraud / Embezzlement,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",CO,80221,,N/A,Phone,04/17/2017,Closed with explanation,Yes,No,2437474
04/18/2017,Credit card,,Credit line increase/decrease,,,Company believes it acted appropriately as authorized by contract or law,UNITED SERVICES AUTOMOBILE ASSOCIATION,PA,15963,Older American,N/A,Postal mail,04/18/2017,Closed with explanation,Yes,No,2440352
04/18/2017,Student loan,Non-federal student loan,Dealing with my lender or servicer,Having problems with customer service,,,"Navient Solutions, LLC.",VT,054XX,,,Web,04/18/2017,In progress,Yes,No,2440969
04/20/2017,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt resulted from identity theft,,,"Concentric Receivables Management, Ltd.",TX,775XX,,,Web,04/20/2017,Closed with explanation,Yes,No,2444285
12/31/2012,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,OCWEN LOAN SERVICING LLC,MI,48320,,N/A,Fax,01/02/2013,Closed with explanation,Yes,No,215643
04/21/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Frequent or repeated calls,,,"URS Holding, LLC",TN,379XX,,,Web,04/21/2017,Closed with explanation,Yes,No,2446884
